scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count,density
4,4,GBFS,1,53.0,14.6160999975109,54,1.0,0,3,13.766299998678733,16.741499999625375,60,40,4,4
4,4,A*,1,53.0,9.55949999843142,54,1.0,0,3,7.385000000795117,15.471899998374283,60,40,4,4
4,4,RRT*,1,56.535778406635124,353.36479999750736,627,1.066712800125191,0,3,297.7404999983264,386.97209999736515,60,40,4,4
8,4,Brute Force,1,53.6612437050529,119.85310000090976,12721,1.0124762963217528,0,3,111.88430000038352,124.47760000213748,60,40,8,8
8,4,UCS,1,55.48528137423857,548.1211999976949,2035,1.0468921014007277,0,3,531.6173999999592,620.8961000011186,60,40,8,8
8,4,GBFS,1,55.48528137423857,11.225899997953093,56,1.0468921014007277,0,3,8.368300001166062,11.369300002115779,60,40,8,8
8,4,A*,1,55.48528137423857,61.52800000199932,328,1.0468921014007277,0,3,58.93049999940558,73.19119999738177,60,40,8,8
8,4,RRT*,1,57.517529751823076,383.2016000014846,602,1.0852364104117562,0,3,332.29879999998957,522.7075000002515,60,40,8,8
12,4,Brute Force,1,53.6612437050529,208.74339999863878,12721,1.0124762963217528,0,3,151.85890000066138,241.63140000018757,60,40,12,12
12,4,UCS,1,55.48528137423857,606.4456999993126,1973,1.0468921014007277,0,3,588.3140000005369,738.7023000010231,60,40,12,12
12,4,GBFS,1,55.48528137423857,13.138799997250317,56,1.0468921014007277,0,3,13.118700000632089,17.539600001327926,60,40,12,12
12,4,A*,1,55.48528137423857,67.92779999886989,282,1.0468921014007277,0,3,60.79739999768208,75.70430000123451,60,40,12,12
12,4,RRT*,1,60.19116950634032,603.3825999984401,583,1.1356824435158552,0,3,526.109099999303,666.1502000024484,60,40,12,12
16,4,Brute Force,1,53.6612437050529,166.78939999837894,12721,1.0124762963217528,0,3,152.35150000080466,228.5435999983747,60,40,16,16
16,4,UCS,1,55.48528137423857,703.2586999994237,1904,1.0468921014007277,0,3,616.2012999993749,707.1006999976817,60,40,16,16
16,4,GBFS,1,55.48528137423857,16.233199999987846,56,1.0468921014007277,0,3,13.705599998502294,19.71910000065691,60,40,16,16
