scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count
Padat,7,UCS,1,54.65685424949238,495.32320000071195,1715,1.0312614009338186,0,3,462.89940000133356,612.2269000006781,60,40,21
Padat,7,GBFS,1,57.14213562373095,14.058400000067195,55,1.0781535023345463,0,3,13.17390000258456,17.346100001304876,60,40,21
Padat,7,A*,1,54.65685424949238,50.51159999857191,181,1.0312614009338186,0,3,47.29159999988042,51.76019999998971,60,40,21
Padat,7,RRT*,1,55.25283605152711,757.9767000024731,789,1.0425063405948511,0,3,734.0751999981876,1032.2906999972474,60,40,21
Padat,8,Brute Force,0,nan,67.63850000061211,12721,nan,0,3,67.18350000301143,72.0751000008022,60,40,20
Padat,8,UCS,1,57.14213562373095,414.78210000059335,1745,1.0781535023345463,0,3,413.52270000061253,433.62770000021555,60,40,20
Padat,8,GBFS,1,62.45584412271571,13.140700000803918,57,1.178412153258787,0,3,12.948700001288671,14.468800000031479,60,40,20
Padat,8,A*,1,57.14213562373095,181.90529999992577,386,1.0781535023345463,0,3,179.60889999812935,197.9838999977801,60,40,20
Padat,8,RRT*,1,58.386245171356926,729.2882000001555,784,1.101627267384093,0,3,719.8477999991155,784.8475999999209,60,40,20
Padat,9,Brute Force,0,nan,52.29880000115372,12721,nan,0,3,50.7964999997057,56.98109999866574,60,40,21
Padat,9,UCS,1,56.31370849898476,431.33859999943525,1722,1.062522801867637,0,3,415.4558999980509,440.67120000181603,60,40,21
Padat,9,GBFS,1,66.01219330881976,11.10510000216891,56,1.245513081298486,0,3,11.000300000887364,12.652900000830414,60,40,21
Padat,9,A*,1,56.31370849898476,80.92469999974128,314,1.062522801867637,0,3,74.34640000064974,82.981400002609,60,40,21
Padat,9,RRT*,1,64.12216843396365,598.9673000003677,697,1.2098522346030878,0,3,598.6044999990554,605.8334999979706,60,40,21
